# darshan log version: 3.21
# compression method: ZLIB
# exe: /global/u2/k/khl7265/ior/./src/ior -a hdf5 -w -o /global/cscratch1/sd/khl7265/FS_64_1M/IOR//IOR.logvol -c -b 1048576 -t 1048576 -s 32 
# uid: 74109
# jobid: 48259
# start_time: 1597154739
# start_time_asci: Tue Aug 11 09:05:39 2020
# end_time: 1597154789
# end_time_asci: Tue Aug 11 09:06:29 2020
# nprocs: 256
# run time: 51
# metadata: lib_ver = 3.2.1
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 360 bytes (uncompressed)
# job data: 607 bytes (compressed)
# record table: 551 bytes (compressed)
# POSIX module: 223 bytes (compressed), ver=4
# MPI-IO module: 174 bytes (compressed), ver=3
# H5F module: 55 bytes (compressed), ver=3
# H5D module: 2425 bytes (compressed), ver=1
# LUSTRE module: 179 bytes (compressed), ver=1
# STDIO module: 81 bytes (compressed), ver=2

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/var/opt/cray/imps-image-binding/PE_x86_64/squash_mounts/squashfs_zmuRVA_mount_point/opt/cray/pe/modulefiles/craype/.version	overlay
# mount entry:	/var/opt/cray/imps-image-binding/PE_x86_64/squash_mounts/squashfs_zmuRVA_mount_point	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/cle.cori.cle7.0.up01.20200713091029	squashfs
# mount entry:	/var/opt/cray/imps-distribution/squash/mounts/global	squashfs
# mount entry:	/opt/cray/pe/modulefiles/craype/.version	overlay
# mount entry:	/var/opt/cray/imps-distribution/source	autofs
# mount entry:	/global/project/projectdirs	dvs
# mount entry:	/sys/kernel/debug/tracing	tracefs
# mount entry:	/var/opt/cray/alps/spool	devtmpfs
# mount entry:	/sys/fs/cgroup/unified	cgroup2
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/var/opt/cray/imps	dvs
# mount entry:	/.rootfs_lower_ro	squashfs
# mount entry:	/global/cscratch1	lustre
# mount entry:	/global/projectb	dvs
# mount entry:	/etc/opt/cray/pe	squashfs
# mount entry:	/usr/sbin/ibstat	overlay
# mount entry:	/usr/local/lmod	squashfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/global/syscom	dvs
# mount entry:	/global/common	dvs
# mount entry:	/global/seqfs	dvs
# mount entry:	/opt/admin-pe	squashfs
# mount entry:	/opt/jemalloc	squashfs
# mount entry:	/etc/dat.conf	overlay
# mount entry:	/opt/cray/pe	squashfs
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/global/dna	dvs
# mount entry:	/global/cfs	dvs
# mount entry:	/opt/python	squashfs
# mount entry:	/opt/nvidia	squashfs
# mount entry:	/cray_home	dvs
# mount entry:	/global/u1	dvs
# mount entry:	/global/u2	dvs
# mount entry:	/opt/intel	squashfs
# mount entry:	/opt/gcc	squashfs
# mount entry:	/nersc	dvs
# mount entry:	/cvmfs	dvs
# mount entry:	/opt/R	squashfs
# mount entry:	/dev	devtmpfs
# mount entry:	/	overlay

# description of columns:
#   <module>: module responsible for this I/O record.
#   <rank>: MPI rank.  -1 indicates that the file is shared
#      across all processes and statistics are aggregated.
#   <record id>: hash of the record's file path
#   <counter name> and <counter value>: statistical counters.
#      A value of -1 indicates that Darshan could not monitor
#      that counter, and its value should be ignored.
#   <file name>: full file path for the record.
#   <mount pt>: mount point that the file resides on.
#   <fs type>: type of file system that the file resides on.

# *******************************************************
# POSIX module data
# *******************************************************

# description of POSIX counters:
#   POSIX_*: posix operation counts.
#   READS,WRITES,OPENS,SEEKS,STATS,MMAPS,SYNCS,FILENOS,DUPS are types of operations.
#   POSIX_RENAME_SOURCES/TARGETS: total count file was source or target of a rename operation
#   POSIX_RENAMED_FROM: Darshan record ID of the first rename source, if file was a rename target
#   POSIX_MODE: mode that file was opened in.
#   POSIX_BYTES_*: total bytes read and written.
#   POSIX_MAX_BYTE_*: highest offset byte read and written.
#   POSIX_CONSEC_*: number of exactly adjacent reads and writes.
#   POSIX_SEQ_*: number of reads and writes from increasing offsets.
#   POSIX_RW_SWITCHES: number of times access alternated between read and write.
#   POSIX_*_ALIGNMENT: memory and file alignment.
#   POSIX_*_NOT_ALIGNED: number of reads and writes that were not aligned.
#   POSIX_MAX_*_TIME_SIZE: size of the slowest read and write operations.
#   POSIX_SIZE_*_*: histogram of read and write access sizes.
#   POSIX_STRIDE*_STRIDE: the four most common strides detected.
#   POSIX_STRIDE*_COUNT: count of the four most common strides.
#   POSIX_ACCESS*_ACCESS: the four most common access sizes.
#   POSIX_ACCESS*_COUNT: count of the four most common access sizes.
#   POSIX_*_RANK: rank of the processes that were the fastest and slowest at I/O (for shared files).
#   POSIX_*_RANK_BYTES: bytes transferred by the fastest and slowest ranks (for shared files).
#   POSIX_F_*_START_TIMESTAMP: timestamp of first open/read/write/close.
#   POSIX_F_*_END_TIMESTAMP: timestamp of last open/read/write/close.
#   POSIX_F_READ/WRITE/META_TIME: cumulative time spent in read, write, or metadata operations.
#   POSIX_F_MAX_*_TIME: duration of the slowest read and write operations.
#   POSIX_F_*_RANK_TIME: fastest and slowest I/O time for a single rank (for shared files).
#   POSIX_F_VARIANCE_RANK_*: variance of total I/O time and bytes moved for all ranks (for shared files).

# WARNING: POSIX_OPENS counter includes both POSIX_FILENOS and POSIX_DUPS counts

# WARNING: POSIX counters related to file offsets may be incorrect if a file is simultaneously accessed by both POSIX and STDIO (e.g., using fileno())
# 	- Affected counters include: MAX_BYTE_{READ|WRITTEN}, CONSEC_{READS|WRITES}, SEQ_{READS|WRITES}, {MEM|FILE}_NOT_ALIGNED, STRIDE*_STRIDE

#<module>	<rank>	<record id>	<counter>	<value>	<file name>	<mount pt>	<fs type>
POSIX	-1	4599878765135114938	POSIX_OPENS	775	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_FILENOS	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_DUPS	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_READS	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_WRITES	16452	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_SEEKS	16968	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_STATS	5	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_MMAPS	-1	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_FSYNCS	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_FDSYNCS	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_RENAME_SOURCES	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_RENAME_TARGETS	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_RENAMED_FROM	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_MODE	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_BYTES_READ	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_BYTES_WRITTEN	8590282120	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_MAX_BYTE_READ	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_MAX_BYTE_WRITTEN	8590284303	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_CONSEC_READS	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_CONSEC_WRITES	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_SEQ_READS	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_SEQ_WRITES	16450	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_RW_SWITCHES	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_MEM_NOT_ALIGNED	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_MEM_ALIGNMENT	8	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_FILE_NOT_ALIGNED	8258	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_FILE_ALIGNMENT	1048576	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_MAX_READ_TIME_SIZE	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_MAX_WRITE_TIME_SIZE	40	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_SIZE_READ_0_100	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_SIZE_READ_100_1K	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_SIZE_READ_1K_10K	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_SIZE_READ_10K_100K	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
POSIX	-1	4599878765135114938	POSIX_SIZE_READ_100K_1M	0	/global/cscratch1/sd/khl7265/FS_64_1M/IOR/IOR.logvol	/global/cscratch1	lustre
